episode,step,time,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,terminal
0,0,900,0.0,10.0,2.997,22.226998041325395,22.149460010639736,17.27719665580851,5.994,2,-11.5,-11.5,True
1,0,900,0.0,10.0,-2.997,21.949458260941274,20.250766306929943,21.58564854860924,-5.994,0,21.5,10.0,True
2,4,4500,0.0,10.0,0.0,22.503202880429185,21.804003393891335,20.745342428990966,5.994,1,21.75,36.0,True
3,24,22500,0.0,10.0,0.0,10.217121756117756,8.545661779137458,8.639305767719154,0.0,1,-1.1951178678417937,-55.25600726426527,True
4,19,18000,0.0,10.0,-2.997,12.129853237279491,8.760433943668232,10.551562929741973,0.0,0,-3.7082043960005437,-162.19414643764,True
5,0,900,0.0,10.0,0.0,22.596677857813916,20.26467764884525,19.45545097769869,0.0,1,5.25,-156.94414643764,True
6,1,1800,0.0,10.0,0.0,22.357934679783025,21.36883764414881,21.817952724509492,-5.994,1,5.25,-146.69414643764,True
7,0,900,0.0,10.0,0.0,21.923532678460486,22.196426318660894,22.025400789088373,0.0,1,5.25,-141.44414643764,True
8,17,16200,0.0,10.0,2.997,10.163780976005294,11.522772329396062,8.5945750548674,-23.976,2,-1.4541733031734985,-154.41647879827292,True
9,15,14400,0.0,10.0,0.0,10.22511630351792,8.557749777560016,8.652561449791536,-41.958,1,-1.194555639961628,-200.99264935241408,True
10,6,6300,0.0,10.0,-2.997,11.760035807305236,7.194906450586173,10.391362403095597,-41.958,0,-2.445388273701116,-219.0523703493119,True
11,22,20700,0.0,10.0,-2.997,10.68676544477503,6.645503324157989,9.10967090043484,-23.976,0,-1.4703859216689878,-243.8998311508796,True
12,12,11700,0.0,10.0,2.997,10.557228639106402,11.870688866105393,9.00654041670794,-47.952,2,-2.7100218575192225,-265.3085281364033,True
13,10,9900,0.0,10.0,-2.997,11.598277094513072,6.963279920043388,10.08195932638152,-35.964,0,-2.4964094626251,-276.4603548626523,True
14,10,9900,0.0,10.0,-2.997,11.45116562284598,7.411782675522249,9.814575203180166,-47.952,0,-3.9894857636229366,-314.64455468663533,True
15,4,4500,0.0,10.0,2.997,20.945946913357133,22.468908041634975,18.832427255465586,0.0,2,21.5,-239.89455468663533,True
16,9,9000,0.0,10.0,2.997,11.304791504339242,12.666798332173624,9.797043697048554,-29.97,2,-2.557637658189063,-229.12166245474887,True
17,18,17100,0.0,10.0,2.997,11.28137697640297,12.605411526088798,9.711244210276494,-5.994,2,-2.567165778227824,-314.5032536995062,True
18,6,6300,0.0,10.0,0.0,22.459772342664273,22.54596733927368,20.776791309265548,11.988,1,21.75,-245.75325369950622,True
19,21,19800,0.0,10.0,2.997,10.934147046399838,12.300459400511835,9.358947805806274,-5.994,2,-2.6505902775677272,-364.64983377786183,True
20,64,58500,0.0,10.0,-2.997,10.857392507893904,6.167669617165032,9.279282903704518,113.88599999999998,0,-2.652424236696933,-680.7159441870123,True
21,26,24300,0.0,10.0,2.997,12.943573334672447,15.570837763516545,11.365350412205848,35.964,2,-3.450359095154342,-845.7697489576954,True
22,12,11700,0.0,10.0,0.0,11.498910342793533,9.829688252296641,9.93770625998332,-23.976,1,-2.2700396596772787,-896.416530205682,True
23,26,24300,0.0,10.0,2.997,10.747628780149112,12.06393095149866,9.16964643174453,17.982,2,-2.677730709244314,-1064.354601836567,True
24,12,11700,0.0,10.0,-2.997,11.310572263315857,6.672201269802763,9.811084810970625,-41.958,0,-2.5530563892800977,-1112.5027606726464,True
25,2,2700,0.0,10.0,0.0,22.815904859360547,20.82568885706014,18.553690670641384,0.0,1,5.25,-1113.2527606726464,True
26,0,900,0.0,10.0,0.0,20.87195375676119,21.87382160265034,21.145776485725932,0.0,1,21.75,-1091.5027606726464,True
27,0,900,0.0,10.0,0.0,20.035487726525776,21.485445407754963,21.865252327643297,0.0,1,5.25,-1086.2527606726464,True
28,1,1800,0.0,10.0,0.0,22.94068290981201,20.465049079931728,18.29257395810339,0.0,1,5.25,-1075.7527606726464,True
29,3,3600,0.0,10.0,0.0,22.605233403229132,22.77883597532193,22.3266919515704,5.994,1,5.25,-1055.0027606726464,True
30,19,18000,0.0,10.0,-2.997,10.34522197880259,5.712676406542229,8.773308072345483,-23.976,0,-1.4358760438751654,-1138.3404318268958,True
