episode,step,time,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main-temperature,attic_temperature,heat_added,action,reward,total_reward,terminal
1,26,24300,"[0.0, 10.0, -2.997, 12.918108066784608, 9.718822667593175, 11.339257919430692]",,,,,TRUE,23.976,0,3.433139293,-53.22308211,TRUE
2,23,21600,"[0.0, 10.0, -2.997, 13.534856773050599, 9.246706593059187, 11.95610332388839]",,,,,TRUE,5.994,0,3.351652962,-97.65206219,TRUE
3,12,11700,"[0.0, 10.0, -2.997, 13.390859254057814, 9.5823446279107, 11.788889708522287]",,,,,TRUE,-11.988,0,3.361556181,-123.0793981,TRUE
4,8,8100,"[0.0, 10.0, -2.997, 13.65947362007522, 9.381540626058351, 12.42554858842082]",,,,,TRUE,-11.988,0,3.263945192,-142.6227316,TRUE
5,10,9900,"[0.0, 10.0, -2.997, 13.30665794351842, 9.96386751235006, 11.686030442935689]",,,,,TRUE,5.994,0,3.331374967,-173.5869016,TRUE
6,16,15300,"[0.0, 10.0, -2.997, 12.989257961226862, 9.308590069377379, 11.452676229643385]",,,,,TRUE,11.988,0,3.471748811,-219.7613527,TRUE
7,9,9000,"[0.0, 10.0, -2.997, 12.898650502781342, 8.7682947169721, 11.02276567803217]",,,,,TRUE,-17.982,0,3.580165298,-240.6221932,TRUE
8,14,13500,"[0.0, 10.0, -2.997, 12.755790328011312, 8.28123419710691, 11.195544332442639]",,,,,TRUE,-41.958,0,3.612459189,-264.0284759,TRUE
9,5,5400,"[0.0, 10.0, -2.997, 14.60660902071686, 9.861580486567325, 12.175513016532598]",,,,,TRUE,-17.982,0,3.123909238,-277.9673361,TRUE
10,7,7200,"[0.0, 10.0, -2.997, 13.104713452055714, 8.94862839944258, 11.945819484272082]",,,,,TRUE,-23.976,0,3.431557701,-292.6430238,TRUE
11,12,11700,"[0.0, 10.0, -2.997, 13.205129764731815, 8.58111833488037, 11.643412170227727]",,,,,TRUE,-11.988,0,3.47511374,-306.4383871,TRUE
12,4,4500,"[0.0, 10.0, -2.997, 12.575821995512994, 8.601733184246058, 12.308171645204952]",,,,,TRUE,-23.976,0,3.473407745,-318.8847685,TRUE
13,10,9900,"[0.0, 10.0, -2.997, 13.206352418283831, 9.24884532854534, 11.71214099389468]",,,,,TRUE,-35.964,0,3.424494171,-329.2952125,TRUE
14,1,1800,"[0.0, 10.0, -2.997, 17.158952531651387, 9.563602577593594, 9.844231381799355]",,,,,TRUE,-11.988,0,2.839259337,-335.0590036,TRUE
15,5,5400,"[0.0, 10.0, -2.997, 14.679122453483181, 9.829890506908662, 12.559937443790135]",,,,,TRUE,-11.988,0,3.060256873,-346.4038748,TRUE
16,16,15300,"[0.0, 10.0, -2.997, 13.367801316395017, 9.517360550741351, 11.796845420977165]",,,,,TRUE,0,0,3.370143122,-361.7004757,TRUE
17,5,5400,"[0.0, 10.0, -2.997, 13.981928377891231, 9.668603491981486, 12.927391594684325]",,,,,TRUE,-11.988,0,3.129138911,-375.5711641,TRUE
18,11,10800,"[0.0, 10.0, -2.997, 12.828828814122682, 8.275295081414786, 11.146646499987872]",,,,,TRUE,-35.964,0,3.608648794,-394.791233,TRUE
19,15,14400,"[0.0, 10.0, -2.997, 12.566533767672693, 8.587429837640492, 10.999390048960713]",,,,,TRUE,-23.976,0,3.638590393,-407.9374222,TRUE
20,7,7200,"[0.0, 10.0, -2.997, 14.050270173311782, 9.604255130911245, 12.735932119354525]",,,,,TRUE,-17.982,0,3.148996521,-423.0769753,TRUE
21,7,7200,"[0.0, 10.0, -2.997, 13.090291182980119, 9.707908466767424, 11.181938722147638]",,,,,TRUE,0,0,3.431520887,-447.8055821,TRUE
22,4,4500,"[0.0, 10.0, -2.997, 13.009021476898713, 9.0041429194846, 12.663767039563918]",,,,,TRUE,-23.976,0,3.343131964,-459.4196496,TRUE
23,11,10800,"[0.0, 10.0, -2.997, 13.742140292375844, 9.110335800365005, 12.160144713635479]",,,,,TRUE,-17.982,0,3.300030069,-462.5359532,TRUE
24,3,3600,"[0.0, 10.0, -2.997, 12.553638993534515, 8.78380517322052, 12.40609989072448]",,,,,TRUE,-17.982,0,3.454228837,-473.7154428,TRUE
25,8,8100,"[0.0, 10.0, -2.997, 14.002715726310868, 9.068638401424847, 11.758723915168785]",,,,,TRUE,-23.976,0,3.31499467,-489.5768147,TRUE
26,6,6300,"[0.0, 10.0, -2.997, 14.437552413935656, 9.478923793398758, 12.183947826631464]",,,,,TRUE,-23.976,0,3.168132712,-500.4209387,TRUE
27,11,10800,"[0.0, 10.0, -2.997, 14.413537202617364, 9.912778514913706, 12.793001018953161]",,,,,TRUE,-17.982,0,3.068670845,-505.5240008,TRUE
28,17,16200,"[0.0, 10.0, -2.997, 14.331314607742732, 9.768798430378283, 12.734875356288537]",,,,,TRUE,0,0,3.096658749,-515.2473042,TRUE
29,0,900,"[0.0, 10.0, -2.997, 12.413624674094692, 8.340487931095154, 10.10079892030795]",,,,,TRUE,-5.994,0,3.768840127,-519.0161443,TRUE
30,8,8100,"[0.0, 10.0, -2.997, 13.607417441107492, 9.145190907685421, 12.294474507630547]",,,,,TRUE,-23.976,0,3.300884434,-529.329655,TRUE
31,13,12600,"[0.0, 10.0, -2.997, 14.127769106231902, 9.525894723368607, 12.585821662765111]",,,,,TRUE,0,0,3.161187674,-533.6682488,TRUE
32,1,1800,"[0.0, 10.0, -2.997, 13.35925005408007, 9.682204072167456, 12.663901530331541]",,,,,TRUE,-11.988,0,3.255051481,-539.4779542,TRUE
33,4,4500,"[0.0, 10.0, -2.997, 13.296245451704337, 8.670819740303182, 11.656838989060962]",,,,,TRUE,-11.988,0,3.45586159,-552.7815253,TRUE
34,7,7200,"[0.0, 10.0, -2.997, 14.194911891990452, 9.336498757469485, 12.126031748227287]",,,,,TRUE,-17.982,0,3.222596091,-565.0777627,TRUE
35,17,16200,"[0.0, 10.0, -2.997, 13.641120224476172, 9.022421835441477, 12.071554237232956]",,,,,TRUE,5.994,0,3.331786742,-577.6050122,TRUE
36,4,4500,"[0.0, 10.0, -2.997, 13.631128255376362, 8.773669922810232, 11.616059662217502]",,,,,TRUE,-29.97,0,3.405384156,-588.6722788,TRUE
37,7,7200,"[0.0, 10.0, -2.997, 13.325361080274405, 8.920343999678009, 12.201839082617719]",,,,,TRUE,-23.976,0,3.366207021,-600.458545,TRUE
38,0,900,"[0.0, 10.0, -2.997, 14.522112018518214, 9.033071110815802, 11.338439771214553]",,,,,TRUE,-5.994,0,3.283306279,-603.7418513,TRUE
39,37,34200,"[0.0, 10.0, -2.997, 14.142157192114418, 9.795503605840192, 12.564049679163821]",,,,,TRUE,77.922,0,3.149643922,-601.2400919,TRUE
40,9,9000,"[0.0, 10.0, -2.997, 13.210044641181259, 8.509945197901407, 11.248290404459583]",,,,,TRUE,-29.97,0,3.529260257,-619.5899036,TRUE
41,5,5400,"[0.0, 10.0, -2.997, 13.860232295652615, 9.295582069840167, 12.317819332438413]",,,,,TRUE,-11.988,0,3.251836867,-634.8309734,TRUE
