episode,time,step,time1,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,terminal,,,,,
1,1,26,24300,0,10,-2.997,12.91810807,9.718822668,11.33925792,23.976,0,3.433139293,-53.22308211,TRUE,,,,,
2,2,23,21600,0,10,-2.997,13.53485677,9.246706593,11.95610332,5.994,0,3.351652962,-97.65206219,TRUE,,,,,
3,3,12,11700,0,10,-2.997,13.39085925,9.582344628,11.78888971,-11.988,0,3.361556181,-123.0793981,TRUE,,,,,
4,4,8,8100,0,10,-2.997,13.65947362,9.381540626,12.42554859,-11.988,0,3.263945192,-142.6227316,TRUE,,,,,
5,5,10,9900,0,10,-2.997,13.30665794,9.963867512,11.68603044,5.994,0,3.331374967,-173.5869016,TRUE,,,,,
6,6,16,15300,0,10,-2.997,12.98925796,9.308590069,11.45267623,11.988,0,3.471748811,-219.7613527,TRUE,,,,,
7,7,9,9000,0,10,-2.997,12.8986505,8.768294717,11.02276568,-17.982,0,3.580165298,-240.6221932,TRUE,,,,,
8,8,14,13500,0,10,-2.997,12.75579033,8.281234197,11.19554433,-41.958,0,3.612459189,-264.0284759,TRUE,,,,,
9,9,5,5400,0,10,-2.997,14.60660902,9.861580487,12.17551302,-17.982,0,3.123909238,-277.9673361,TRUE,,,,,
10,10,7,7200,0,10,-2.997,13.10471345,8.948628399,11.94581948,-23.976,0,3.431557701,-292.6430238,TRUE,,,,,
11,11,12,11700,0,10,-2.997,13.20512976,8.581118335,11.64341217,-11.988,0,3.47511374,-306.4383871,TRUE,,,,,
12,12,4,4500,0,10,-2.997,12.575822,8.601733184,12.30817165,-23.976,0,3.473407745,-318.8847685,TRUE,,,,,
13,13,10,9900,0,10,-2.997,13.20635242,9.248845329,11.71214099,-35.964,0,3.424494171,-329.2952125,TRUE,,,,,
14,14,1,1800,0,10,-2.997,17.15895253,9.563602578,9.844231382,-11.988,0,2.839259337,-335.0590036,TRUE,,,,,
15,15,5,5400,0,10,-2.997,14.67912245,9.829890507,12.55993744,-11.988,0,3.060256873,-346.4038748,TRUE,,,,,
16,16,16,15300,0,10,-2.997,13.36780132,9.517360551,11.79684542,0,0,3.370143122,-361.7004757,TRUE,,,,,
17,17,5,5400,0,10,-2.997,13.98192838,9.668603492,12.92739159,-11.988,0,3.129138911,-375.5711641,TRUE,,,,,
18,18,11,10800,0,10,-2.997,12.82882881,8.275295081,11.1466465,-35.964,0,3.608648794,-394.791233,TRUE,,,,,
19,19,15,14400,0,10,-2.997,12.56653377,8.587429838,10.99939005,-23.976,0,3.638590393,-407.9374222,TRUE,,,,,
20,20,7,7200,0,10,-2.997,14.05027017,9.604255131,12.73593212,-17.982,0,3.148996521,-423.0769753,TRUE,,,,,
21,21,7,7200,0,10,-2.997,13.09029118,9.707908467,11.18193872,0,0,3.431520887,-447.8055821,TRUE,,,,,
22,22,4,4500,0,10,-2.997,13.00902148,9.004142919,12.66376704,-23.976,0,3.343131964,-459.4196496,TRUE,,,,,
23,23,11,10800,0,10,-2.997,13.74214029,9.1103358,12.16014471,-17.982,0,3.300030069,-462.5359532,TRUE,,,,,
24,24,3,3600,0,10,-2.997,12.55363899,8.783805173,12.40609989,-17.982,0,3.454228837,-473.7154428,TRUE,,,,,
25,25,8,8100,0,10,-2.997,14.00271573,9.068638401,11.75872392,-23.976,0,3.31499467,-489.5768147,TRUE,,,,,
26,26,6,6300,0,10,-2.997,14.43755241,9.478923793,12.18394783,-23.976,0,3.168132712,-500.4209387,TRUE,,,,,
27,27,11,10800,0,10,-2.997,14.4135372,9.912778515,12.79300102,-17.982,0,3.068670845,-505.5240008,TRUE,,,,,
28,28,17,16200,0,10,-2.997,14.33131461,9.76879843,12.73487536,0,0,3.096658749,-515.2473042,TRUE,,,,,
29,29,0,900,0,10,-2.997,12.41362467,8.340487931,10.10079892,-5.994,0,3.768840127,-519.0161443,TRUE,,,,,
30,30,8,8100,0,10,-2.997,13.60741744,9.145190908,12.29447451,-23.976,0,3.300884434,-529.329655,TRUE,,,,,
31,31,13,12600,0,10,-2.997,14.12776911,9.525894723,12.58582166,0,0,3.161187674,-533.6682488,TRUE,,,,,
32,32,1,1800,0,10,-2.997,13.35925005,9.682204072,12.66390153,-11.988,0,3.255051481,-539.4779542,TRUE,,,,,
33,33,4,4500,0,10,-2.997,13.29624545,8.67081974,11.65683899,-11.988,0,3.45586159,-552.7815253,TRUE,,,,,
34,34,7,7200,0,10,-2.997,14.19491189,9.336498757,12.12603175,-17.982,0,3.222596091,-565.0777627,TRUE,,,,,
35,35,17,16200,0,10,-2.997,13.64112022,9.022421835,12.07155424,5.994,0,3.331786742,-577.6050122,TRUE,,,,,
36,36,4,4500,0,10,-2.997,13.63112826,8.773669923,11.61605966,-29.97,0,3.405384156,-588.6722788,TRUE,,,,,
37,37,7,7200,0,10,-2.997,13.32536108,8.920344,12.20183908,-23.976,0,3.366207021,-600.458545,TRUE,,,,,
38,38,0,900,0,10,-2.997,14.52211202,9.033071111,11.33843977,-5.994,0,3.283306279,-603.7418513,TRUE,,,,,
39,39,37,34200,0,10,-2.997,14.14215719,9.795503606,12.56404968,77.922,0,3.149643922,-601.2400919,TRUE,,,,,
40,40,9,9000,0,10,-2.997,13.21004464,8.509945198,11.2482904,-29.97,0,3.529260257,-619.5899036,TRUE,,,,,
41,41,5,5400,0,10,-2.997,13.8602323,9.29558207,12.31781933,-11.988,0,3.251836867,-634.8309734,TRUE,,,,,
42,42,35,32400,0,10,-2.997,13.47083678,8.836338349,11.89273711,77.922,0,3.390369553,-664.2302555,TRUE,,,,,
43,43,8,8100,0,10,-2.997,13.98190617,9.101926282,11.88911377,-17.982,0,3.299347303,-677.2044925,TRUE,,,,,
44,44,5,5400,0,10,-2.997,14.44281386,9.282383624,11.79436019,-35.964,0,3.227986852,-688.9371432,TRUE,,,,,
45,45,14,13500,0,10,-2.997,14.07381759,9.469885219,12.53006968,5.994,0,3.180215232,-695.5908883,TRUE,,,,,
46,46,12,11700,0,10,-2.997,13.49986192,9.12187839,12.04320886,-5.994,0,3.352692644,-717.5219586,TRUE,,,,,
47,47,8,8100,0,10,-2.997,14.19269886,9.782414528,13.01067752,-11.988,0,3.078060773,-728.2053305,TRUE,,,,,
48,48,2,2700,0,10,-2.997,12.21454638,9.030334799,13.58337993,-17.982,0,3.309905345,-735.7935021,TRUE,,,,,
49,49,15,14400,0,10,-2.997,13.86244969,9.279420782,12.31131013,-5.994,0,3.253035092,-740.5387728,TRUE,,,,,
50,50,18,17100,0,10,-2.997,13.5034926,8.884664783,11.92730633,0,0,3.378658502,-752.4330131,TRUE,,,,,
51,51,2,2700,0,10,-2.997,16.00228206,9.825452507,11.26475476,-17.982,0,2.976403957,-758.396237,TRUE,,,,,
52,52,25,23400,0,10,-2.997,14.38944429,9.781100224,12.81183584,29.97,0,3.075041587,-770.7204769,TRUE,,,,,
53,53,3,3600,0,10,-2.997,13.45245782,9.992728333,14.04608883,-11.988,0,3.020531514,-779.9138382,TRUE,,,,,
54,54,30,27900,0,10,-2.997,14.33904251,9.735605153,12.76102848,47.952,0,3.092713055,-776.0744311,TRUE,,,,,
55,55,19,18000,0,10,-2.997,13.20639497,8.600739778,11.61581974,11.988,0,3.477827248,-800.6844173,TRUE,,,,,
56,56,16,15300,0,10,-2.997,14.44018006,9.843374753,12.87042339,11.988,0,3.055516132,-810.0825226,TRUE,,,,,
57,57,9,9000,0,10,-2.997,14.33783396,9.9916451,13.16170302,-11.988,0,3.023427453,-827.0842972,TRUE,,,,,
58,58,3,3600,0,10,-2.997,13.99657989,8.764794103,11.23989055,-23.976,0,3.396333801,-836.8258469,TRUE,,,,,
59,59,15,14400,0,10,-2.997,13.26526658,8.909148183,11.70736385,5.994,0,3.441846201,-859.7308994,TRUE,,,,,
60,60,17,16200,0,10,-2.997,14.55325635,9.953148579,12.98237596,23.976,0,3.015508312,-875.0184126,TRUE,,,,,
61,61,500,450900,0,10,2.997,21.50294555,24.62845175,19.92483594,2229.768,2,-0.155295028,-588.6263481,TRUE,,,,,
62,62,500,450900,0,10,2.997,21.31305166,24.45750096,19.73494205,2193.804,2,-0.128086552,-220.4802751,TRUE,,,,,
63,63,500,450900,0,10,2.997,21.46779876,24.59257578,19.88968915,2175.822,2,-0.153842668,95.61796798,TRUE,,,,,
64,64,500,450900,0,10,0,20.92954372,21.06884642,19.35143412,2163.834,1,-0.375716603,402.2037318,TRUE,,,,,
65,65,500,450900,0,10,2.997,21.40408677,24.55634056,19.82597717,2133.864,2,-0.125445279,724.4024174,TRUE,,,,,
66,66,500,450900,0,10,2.997,20.78734179,23.89147847,19.20923219,2175.822,2,-0.156601588,1081.39069,TRUE,,,,,
67,67,500,450900,0,10,2.997,21.46713247,24.61973165,19.88902287,2163.834,2,-0.128669304,1425.458276,TRUE,,,,,
68,68,1,1800,0,10,-2.997,12.48972718,9.100521745,13.17853036,-11.988,0,3.334549433,1419.265807,TRUE,,,,,
69,69,500,450900,0,10,2.997,21.58155895,24.73168694,20.00344935,2193.804,2,-0.138316348,1746.589474,TRUE,,,,,
70,70,500,450900,0,10,-2.997,21.57652175,18.70954375,19.99841215,2163.834,0,-0.158772133,2080.402807,TRUE,,,,,
71,71,500,450900,0,10,2.997,20.97366538,23.47104353,19.39555578,2145.852,2,-1.225732821,2422.319324,TRUE,,,,,
