episode,step,time,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,terminal
0,0,900,-17.22222222,-4,2.997,22.3056860396877,20.7057356366618,14.6747454806558,5.994,2,-11.5,-11.5,True
1,12,11700,-15.41666667,-4,2.997,9.7321489865619,11.4640416480511,7.89178695693943,17.982,2,-1.46296236254173,-41.9589628356962,True
2,2,2700,-7.777777778,-4,-2.997,21.9850205075798,20.1442772600487,21.8660308234708,0,0,21.5,34.484003340226,True
3,6,6300,-5.277777778,-4,-2.997,10.2792618310551,6.98451211998027,9.3880291213097,-11.988,0,-4.08531733456371,-22.9477295234299,True
4,6,6300,-1.25,-4,-2.997,9.67080908529242,7.81196098874613,11.6228622791298,-29.97,0,-3.86850033430104,-25.4321986146407,True
5,0,900,1.25,-4,0,20.0103693688143,21.0538343586721,17.0548808212767,0,1,-8.35239621632167,-8.35239621632167,True
6,1,1800,-3.703703706,-4,0,21.3158937384306,20.3903230996332,18.8563451702912,0,1,5.25,10.5,True
7,27,25200,-4.444444444,-4,0,8.10362225884787,8.21000214043129,8.09585092813039,41.958,1,0,-17.3767635130018,True
8,20,18900,-3.055555556,-4,-2.997,9.60717225465265,6.87043056397664,9.74860616199052,35.964,0,-4.14451184955366,-83.3921306615286,True
9,18,17100,-2.222222222,-4,-2.997,9.21544832121863,6.51754285395519,9.48986433861737,29.97,0,-1.55973633710085,-19.1617866429035,True
10,9,9000,-0.555555556,-4,0,20.9510002054676,22.55144654586,21.4581167991768,29.97,1,21.75,23.7549161230449,True
11,15,14400,0.555555556,-4,2.997,9.86752809066316,13.4576423783806,10.6397205687023,29.97,2,-4.00232570082039,-67.9100684639985,True
12,0,900,0.555555556,-4,2.997,20.7842715810648,21.4195981306365,16.4395308268995,5.994,2,-11.5,-11.5,True
13,0,900,-5.694444444,-4,2.997,21.4203989826789,22.4842082011712,13.7421361540379,5.994,2,7.5507797160975,7.5507797160975,True
14,15,14400,-3.888888889,-4,0,9.36947443690218,10.3141950567049,9.4135415014878,11.988,1,-1.09111449600528,-75.4154827442345,True
15,8,8100,-6.666666667,-4,2.997,10.3764562051914,13.8148801413595,9.45365604343748,5.994,2,-2.57172130925286,-34.3504746335111,True
16,19,18000,-5.925925928,-4,-2.997,10.5082115461733,8.44546259660522,10.25282768757,47.952,0,-2.48069302706624,-75.4061106829633,True
17,27,25200,-3.333333333,-4,0,9.28108195057549,9.53202724318151,9.51847520199112,59.94,1,-2.62522583187469,-69.5069090647074,True
18,3,3600,2.777777778,-4,-2.997,21.6529899779796,20.2726413759302,22.4275843998567,0,0,21.5,-6.87642489066924,True
19,1,1800,-2.777777778,-4,-2.997,22.9435140100476,20.6400619822662,23.3136594887715,-5.994,0,-11.5,-22.75,True
20,17,16200,-6.666666667,-4,2.997,11.2883727156267,14.8412842353011,10.8524108590105,59.94,2,-3.63297444263274,11.8493446900336,True
21,25,23400,-7.777777778,-4,2.997,9.36517892403306,11.5397877032909,8.83166746645703,95.904,2,-2.76687334573131,-114.966223245568,True
22,20,18900,-6.111111111,-4,-2.997,8.93745389804341,5.86966579656107,8.62637733257672,47.952,0,-0.25,-87.6419137929055,True
23,4,4500,-4.583333333,-4,-2.997,8.22235989830358,5.98816227137092,10.8187217380284,-29.97,0,-1.28699861946295,-9.21638102782885,True
24,0,900,-0.092592594,-4,2.997,22.1541662459061,20.9100651214287,19.5383146284815,5.994,2,-6.11139695517879,-6.11139695517879,True
25,12,11700,-2.777777778,-4,-2.997,8.82172329912778,5.38826869060142,8.99569543074722,-35.964,0,-2.82637264554344,-59.9464734720245,True
26,11,10800,-2.777777778,-4,0,21.3561107869168,22.8867252708442,21.7011348024299,59.94,1,21.75,112.923202001047,True
27,40,36900,4.861111111,-4,-2.997,9.01051742820922,6.25881885467092,10.3843907711564,119.88,0,-2.70764658938815,-173.598478142963,True
28,10,9900,2.222222222,-4,-2.997,9.90726411339408,7.54127399861603,10.7818712568293,-5.994,0,-3.98933192982692,-1.85585700183549,True
29,65,59400,4.444444444,-4,0,20.1978538768551,22.2698869611915,21.5084541817418,347.652000000001,1,21.75,26.3320692225045,True
30,13,12600,0,-4,0,20.333961572919,22.1066087968208,21.1329587331028,71.928,1,21.75,92.6756415008992,True
31,22,20700,-4.861111111,-4,-2.997,8.67221093516128,5.08346238600123,8.59623288583006,41.958,0,-2.86742935071665,-122.432699882862,True
32,48,44100,6.666666667,-4,0,20.0572686562192,22.2828637062732,21.634392836444,251.748000000001,1,5.25,34.8222040796819,True
33,42,38700,8.333333333,-4,-2.997,21.0220515132701,20.3752410372471,22.77527303264,227.772,0,21.5,148.799039182485,True
34,2,2700,5.694444444,-4,2.997,20.6458582696059,21.1433377046768,15.5784181250377,5.994,2,-11.5,-9.83658575355732,True
35,1,1800,2.222222222,-4,2.997,20.7677786590932,21.7319512875506,15.4306937109491,11.988,2,7.90925967938851,1.86087483841606,True
36,71,64800,15.55555556,-4,2.997,27.0882132964439,33.3182225382861,30.1854595516168,431.568000000001,2,-5.04416448318376,241.514915176438,True
37,10,9900,15.41666667,-4,-2.997,21.0472337656471,21.2203489687003,24.2742946637084,53.946,0,5,27.4553927180036,True
38,97,88200,3.333333333,-4,-2.997,24.4940593059144,23.6262247426749,25.7566476407418,569.430000000001,0,-8.75325936531985,232.972993197381,True
39,97,88200,6.666666667,-4,2.997,25.2046477874945,30.5863606871335,26.8801486398156,581.418000000001,2,-8.84824501566281,390.039571791482,True
40,97,88200,-1.388888889,-4,2.997,22.0174436961086,26.6440737619788,22.4917779781816,575.424000000001,2,21.5,543.428004934642,True
41,62,56700,10.13888889,-4,0,20.9837656590364,22.8167601669488,23.2661280972759,353.646000000001,1,5.25,264.516036710047,True
42,51,46800,12.22222222,-4,0,20.4686484106585,22.3816542504034,22.838437940996,287.712000000001,1,5.25,164.937139586919,True
43,61,55800,13.88888889,-4,0,20.4701019740941,22.5983558115987,23.2996028949395,329.670000000001,1,5.25,912.003818182477,True
44,48,44100,11.66666667,-4,0,20.8758499304627,22.7365702572826,23.1365418215129,269.730000000001,1,5.25,889.5,True
45,50,45900,10.55555556,-4,0,20.9493687367134,22.811515391232,23.2273035634926,281.718000000001,1,5.25,143.383822118314,True
46,97,88200,-3.333333333,-4,2.997,20.9338090719023,25.2887059056786,20.9589016524608,575.424000000001,2,21.5,636.2415087544,True
47,19,18000,-7.222222222,-4,0,8.90691883505302,8.94489179325515,8.50422927183959,47.952,1,0,-16.2155049917498,True
48,16,15300,-5.555555556,-4,-2.997,9.04840830259327,5.42267614237855,8.82341562975253,35.964,0,-2.81468037407539,-97.1187262236261,True
49,6,6300,-2.777777778,-4,-2.997,9.47690740483809,5.22975692782331,8.04212067191143,-41.958,0,-1.45242130106858,-21.5245313746785,True
50,35,32400,12.22222222,-4,-2.997,20.9707272760252,20.5117554177661,23.0286374304379,203.796,0,21.5,126.014270952608,True
51,39,36000,5.555555556,-4,-2.997,21.5084128196495,20.6293789103395,22.8372590633848,221.778,0,21.5,846.532900774719,True
52,97,88200,-4.444444444,-4,2.997,18.078974532781,21.0385931346969,18.0139539464492,575.424000000001,2,-11.5,831.493826946197,True
53,97,88200,-5.555555556,-4,2.997,20.4785833703418,24.8738485648735,20.6317781308128,587.412000000001,2,21.5,1106.01593585308,True
54,31,28800,9.444444444,-4,0,20.2938342907645,22.6196932872997,22.0127013770945,185.814,1,21.75,-147.873817264534,True
55,60,54900,5.972222222,-4,0,20.8566241202896,22.3855614170418,22.6333935848683,317.682000000001,1,5.25,346.225881859707,True
56,97,88200,-5,-4,2.997,19.5365571843743,23.7513422076435,19.3732972281742,581.418000000001,2,-11.5,790.299643314119,True
57,14,13500,-3.194444444,-4,0,20.3816140514005,21.7653736082801,20.4761552081531,83.916,1,21.75,309.050214836471,True
58,97,88200,-4.444444444,-4,2.997,21.6392298584078,26.0204525640889,21.7028439508911,587.412000000001,2,21.5,141.529552678576,True
59,13,12600,-5.277777778,-4,0,20.6899190349075,21.860857631181,20.39286409035,77.922,1,21.75,141.950843521162,True
60,78,71100,0.555555556,-4,-2.997,21.7182845678786,20.4617027013003,22.3886003822435,461.538000000002,0,21.5,1253,True
