episode,step,time,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,terminal
0,15,14400,1,-4,-2.997,9.0690109133622,6.04233037166577,9.84382791944168,5.994,0,-2.75202708501844,-77.3459145159959,True
1,15,14400,5,-4,2.997,10.1403760856002,14.72322874926,11.5042570570429,17.982,2,-2.45418373788101,-76.7765138250834,True
2,0,900,18,-4,2.997,21.3316144453378,22.1525681980879,17.0671215350201,5.994,2,-11.5,-11.5,True
3,1,1800,20.5,-4,0,21.2730877055595,22.5700706682326,24.2319091857928,-5.994,1,5.25,10.25,True
4,1,1800,29.5,-4,0,20.9697260736682,20.149856122981,18.6959290452573,-5.994,1,-11.25,-19.8218178902774,True
5,0,900,34.25,-4,-2.997,22.7775858074825,20.5929136007699,27.1261110604369,-5.994,0,-8.76881462386033,-8.76881462386033,True
6,64,58500,40.5,-4,2.997,26.5296232687112,34.9739093585508,33.5315554754611,155.844,2,-5.30971364152354,344.546056597317,True
7,79,72000,31,-4,-2.997,22.0120569075971,22.0504143617914,27.6966686425447,125.874,0,-8.67121664683459,266.113361204152,True
8,48,44100,29,-4,-2.997,22.1386075628723,22.7714981763283,27.2836982470301,119.88,0,5,19.5012117833824,True
9,4,4500,28,-4,-2.997,22.7783547964283,22.9152216486981,25.930064217465,0,0,5,-21.4383122755104,True
10,29,27000,32,-4,2.997,26.8891575917715,34.5864059690436,32.5695419750362,125.874,2,-5.24107028139531,-47.6331909791564,True
11,13,12600,33,-4,-2.997,20.2230238651159,21.6947042557228,25.9988678932167,35.964,0,-11.5,-42.5299937105696,True
12,51,46800,34,-4,-2.997,21.2416887437432,22.6912553398663,26.9623283205298,77.922,0,5,194.51936118687,True
13,16,15300,26,-4,-2.997,20.1296398817306,20.4744011595453,24.8038065021689,41.958,0,5,-45,True
14,28,26100,21,-4,-2.997,20.1891297740259,20.7475974070019,24.3675594354653,53.946,0,-11.5,216.930979236365,True
15,48,44100,29.25,-4,2.997,26.6677803963913,34.1229467827026,31.9332320481069,173.826,2,-5.18596888043861,56.7150430651747,True
16,79,72000,24,-4,-2.997,22.3500928972051,22.5184217718456,26.6150911562153,149.85,0,5,-32.6207737074443,True
17,10,9900,30.75,-4,-2.997,21.8732334612042,22.9820899091014,27.1825666755798,0,0,5,-51.3209912056378,True
18,29,27000,32,-4,-2.997,21.420932768751,22.3542795072712,27.1298489140074,59.94,0,5,0.290937704098795,True
19,76,69300,30.25,-4,-2.997,22.0817327916653,22.8334826936561,27.6707037250145,113.886,0,7.93756571113516,272.813436120691,True
20,71,64800,29,-4,-2.997,22.3076378893151,22.3712063772938,27.7918698037328,185.814,0,-8.67243249505948,435.25143989083,True
21,36,33300,19.75,-4,0,20.3617383956132,22.9555124674496,23.933525243577,101.898,1,5.25,188.5,True
22,97,88200,24,-4,0,19.4343095370194,22.4863386621026,23.8735091613315,197.802,1,5.25,679.410814989702,True
23,3,3600,23.5,-4,0,21.5412408513146,22.9944976876098,22.6335257610765,0,1,21.75,72.7743812095014,True
24,87,79200,30,-4,2.997,26.7826925420212,34.3663159795783,32.2811333904075,185.814,2,-5.22070390536059,-99.1790812553093,True
25,65,59400,44,-4,-2.997,27.1434828068341,29.9758686438062,34.8183952078859,131.868,0,-4,-24.3585727429309,True
26,59,54000,42,-4,0,25.6748551424204,30.5553489853449,32.8441059721351,155.844,1,-6.21553620833122,106.689907417018,True
27,28,26100,37,-4,2.997,26.2235025277778,34.4443274696418,32.8637098791153,83.916,2,-5.25855652414041,-76.2011761383285,True
28,5,5400,35.5,-4,0,27.0079193809001,31.7400565575317,32.6875867341387,29.97,1,-4.98312852174992,-37.4562790105709,True
29,15,14400,32.5,-4,2.997,25.8999497936665,32.9738265727304,31.6427256517563,65.934,2,-6.34436086628415,-20.4434213458666,True
30,47,43200,37.5,-4,0,26.5313013023762,31.6069086794884,32.86709170955,137.862,1,-5.00113107771703,4.52875712229556,True
31,74,67500,36.75,-4,0,27.1573785403662,32.3373534397805,33.6928834468813,191.808,1,-3.75,107.283081828252,True
32,19,18000,36.5,-4,-2.997,21.3108764109705,21.7834998428408,27.7695958522301,23.976,0,7.8413470257139,38.1864557087165,True
33,3,3600,41.5,-4,-2.997,22.1073163045322,22.0287669587763,27.5143986806783,-23.976,0,-8.58091592987818,-31.9186086118308,True
34,2,2700,42,-4,-2.997,20.8129148023445,21.1863452556251,24.7226681863981,-5.994,0,5,-18,True
35,41,37800,44,-4,2.997,26.631925100893,35.126281502503,33.6846928441267,119.88,2,-5.30713875076061,-4.79466036651587,True
36,0,900,37.25,-4,2.997,21.0132981225788,22.7553017128726,22.1994493227938,5.994,2,-8.78465005943645,-8.78465005943645,True
37,10,9900,59.25,-4,2.997,26.2311221671259,36.1698546739337,35.8294920111537,65.934,2,-4,11.8906379131503,True
38,7,7200,43.5,-4,2.997,26.9716503329806,35.4173422225919,33.9033655698432,47.952,2,-4,-56.6989553694723,True
39,8,8100,35.75,-4,0,26.543770025746,31.3463327800291,32.3737714012801,41.958,1,-4.95308063044191,-46.9674737938576,True
40,8,8100,41.5,-4,2.997,26.365073782455,34.6932230656063,33.1267846404244,53.946,2,-5.26099630290934,-39.0071874105058,True
41,55,50400,48.5,-4,0,25.9781013129873,32.0799321307258,34.1422319129996,107.892,1,-3.75,79.5783721316728,True
42,10,9900,31.5,-4,-2.997,8.48816113800133,8.05659554813663,13.9366142200832,-41.958,0,-1.10859101738848,-68.9740696024975,True
43,42,38700,42,-4,0,26.5988476275554,31.9968744734588,33.4801848403311,107.892,1,-5.04482921374527,104.955520119257,True
44,1,1800,32,-4,2.997,21.4202369913733,21.0275325804704,14.6869150043046,0,2,-8.77886519327262,-15.0880960252803,True
45,46,42300,50.25,-4,-2.997,21.3058869011826,22.8965046318223,29.4674628858998,77.922,0,7.71934020564972,255.998187441399,True
46,59,54000,47,-4,2.997,25.6374131714071,34.0065266423385,33.7225833930313,143.856,2,-5.18200650479266,160.332408158845,True
47,63,57600,45,-4,0,25.4428068028567,30.628913245546,33.1533015873403,155.844,1,-4.90518264233198,276.398435184553,True
48,4,4500,24.5,-4,0,20.1561559617444,22.7845998663926,23.7199713124942,5.994,1,5.25,61.8473754920677,True
49,50,45900,53.75,-4,2.997,26.9194885566545,36.3485576025787,35.6131147407854,149.85,2,-4,-17.9949005459969,True
50,46,42300,49.75,-4,-2.997,20.6110075189699,22.2546808124503,29.2869541954514,59.94,0,7.70136258206852,105.530993618781,True
51,65,59400,33.5,-4,-2.997,21.1515889975967,22.6761462816105,27.0302996877138,71.928,0,5,-201.108656152946,True
52,61,55800,34,-4,-2.997,20.9368936325557,21.8707827307968,26.8422369866693,113.886,0,5,331.042606372552,True
53,97,88200,24,-4,0,21.1493358019351,24.7074871577557,26.2863101665027,161.838,1,5.25,173.031841999525,True
54,42,38700,40,-4,-2.997,21.6824778578174,22.800531705311,29.1056103670305,89.91,0,7.70785854869336,282.321149491405,True
55,30,27900,35,-4,-2.997,20.6094691044771,21.5226782665226,26.4733237822718,41.958,0,5,-22,True
56,1,1800,28,-4,-2.997,22.982672501207,22.0385806111892,26.267947979422,-11.988,0,-11.5,-20.2185029033077,True
57,37,34200,32,-4,-2.997,21.3797593974798,22.1822283023352,26.8508938388465,77.922,0,5,219.787861065282,True
58,59,54000,44,-4,-2.997,21.1145791624474,22.9569756682041,28.680065395479,83.916,0,7.86350901045349,-87.6005346804444,True
59,86,78300,35.5,-4,-2.997,20.7779168968233,21.9311524185244,27.1604077322814,113.886,0,5,156.665218985172,True
60,7,7200,29,-4,-2.997,20.2864960341495,21.2782719770223,26.1518718798854,17.982,0,5,-36.3130218782092,True
61,9,9000,32,-4,-2.997,21.1511773306008,21.9795332017921,26.8902678728342,17.982,0,5,-11.9697816948997,True
62,97,88200,23.5,-4,0,16.8295889156463,19.7934896514046,21.2688759680532,143.856,1,21.75,401.430124638838,True
63,97,88200,26,-4,0,18.9766891445249,22.2103541944842,23.7567465308517,119.88,1,5.25,541.703701447596,True
64,97,88200,29.5,-4,2.997,19.6216142247808,26.2958857007702,24.9707055229707,35.964,2,-11.5,253.455869568269,True
65,44,40500,56,-4,0,24.6581814264976,30.4563189485628,33.7265929491423,101.898,1,-4.81591169797456,282.553050723485,True
66,48,44100,57.75,-4,0,24.1012890325546,30.1551495047183,33.6732442950649,41.958,1,-4.77655720682457,-56.7021870536301,True
67,53,48600,58,-4,0,25.6670948748346,32.0134566777887,35.4168506857433,59.94,1,-5.00746386996929,120.632431287838,True
68,40,36900,57,-4,-2.997,24.158816286888,26.4079253323227,33.347182909939,71.928,0,-7.75,28.7753607608067,True
69,0,900,33.25,-4,-2.997,22.275319003974,22.7170110431004,26.7312222258435,-5.994,0,5,5,True
70,53,48600,56,-4,0,23.9770238666168,29.9451447920109,33.4169419479329,11.988,1,-4.7586254648351,385.064360719282,True
71,50,45900,62.5,-4,0,22.8365484872194,29.1313380802563,33.1151236368331,0,1,10.5808781919733,351.287497442214,True
72,43,39600,64.5,-4,0,23.6021578604836,30.1927469072678,34.1234571945131,29.97,1,-4.76074990630969,67.2757465431324,True
73,37,34200,67,-4,-2.997,23.607504926925,27.3642056524555,34.4059920908541,-11.988,0,-5.02157353299291,255.360519659219,True
74,36,33300,62.75,-4,0,24.3259881430151,30.6687161353777,34.3536597681992,35.964,1,-4.81916540803149,143.290723513557,True
75,40,36900,66.5,-4,-2.997,20.0489957225442,22.9395414241394,30.8980983642481,23.976,0,7.59085213442346,41.8900638763738,True
76,2,2700,46.5,-4,-2.997,8.87698931411026,8.55873205872906,14.2251690503802,-17.982,0,-1.1816581755217,-7.49725631688284,True
77,0,900,31.75,-4,-2.997,22.2387830624055,22.8785721816921,28.6215594049913,-5.994,0,-8.75517960681897,-8.75517960681897,True
78,41,37800,62,-4,0,23.8136404131117,30.1395057656913,33.8560032000109,65.934,1,-4.76188248245044,284.859065412119,True
79,5,5400,30,-4,0,20.2786233167895,22.7540151327197,23.1885120581539,5.994,1,21.75,19.6309020661173,True
80,16,15300,31.5,-4,-2.997,20.3065363940523,21.1267438897583,26.0565858044336,41.958,0,5,29.4582036060349,True
81,97,88200,32,-4,0,19.1796732562435,22.9486350618698,24.9464244883184,0,1,-11.25,551.712322742418,True
82,97,88200,33,-4,0,18.8957259673505,22.7006268594842,24.7298783713613,29.97,1,5.25,111.072557379283,True
83,49,45000,49,-4,-2.997,20.9266851897513,22.556202488748,29.245746105917,17.982,0,7.72985485132968,49.6516781282063,True
84,30,27900,48.5,-4,-2.997,20.1019707322824,22.1606886900147,28.0519058293646,23.976,0,-11.5,-80.6258389656152,True
85,49,45000,68,-4,0,22.8286972244335,29.8274563676606,34.1258186386101,-17.982,1,11.7920591788381,54.6340167191409,True
86,31,28800,65.5,-4,-2.997,23.2493270687768,26.2651098452973,33.8309483336409,11.988,0,-7.75,-106.542441389405,True
87,8,8100,33,-4,-2.997,20.5776268863208,21.2295456921137,25.9741034726103,11.988,0,5,95.25,True
88,2,2700,33.25,-4,-2.997,22.9328588648949,21.0868185504537,24.9199019365641,-17.982,0,5,-15.2033378001532,True
89,2,2700,35.25,-4,-2.997,22.8412453573847,21.90763918512,26.539140164641,-17.982,0,-11.5,-31.7178966366837,True
90,38,35100,48.75,-4,-2.997,20.3462224963053,21.876935511623,28.5034905855214,5.994,0,7.81539712052986,76.5924953720811,True
91,97,88200,25,-4,0,16.0601356756713,19.0499138726139,20.5609052558502,35.964,1,5.25,301.780381374348,True
92,97,88200,24.5,-4,0,18.8341728631915,22.6204531133515,23.4682900721566,23.976,1,5.25,494.262984284003,True
