episode,step,time,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,terminal
0,27,25200,0.0,10.0,0.0,10.269979606124895,8.595492066132817,8.692033915625569,17.982,1,-1.189310385640023,-67.23339993455059,True
1,21,19800,0.0,10.0,0.0,12.067681494890396,11.08273636500797,10.492448273504312,5.994,1,-3.5437157510638646,-172.1945147873629,True
2,1,1800,0.0,10.0,0.0,20.73276943303261,21.119632967578916,20.23601773795873,5.994,1,21.75,-128.9445147873629,True
3,2,2700,0.0,10.0,-2.997,21.841373614026722,20.416156457240913,23.288175925841536,0.0,0,5.0,-130.1945147873629,True
4,0,900,0.0,10.0,-2.997,20.81177321234485,20.031613141513933,25.220629902845143,-5.994,0,5.0,-125.19451478736289,True
5,20,18900,0.0,10.0,2.997,10.900037379540217,12.858389551894641,9.323071680040862,5.994,2,-1.4492210808577775,-255.67220640327596,True
6,28,26100,0.0,10.0,0.0,11.133704498879217,9.457906957191042,9.55553193829375,35.964,1,-2.3491895674043666,-360.0300009350614,True
7,0,900,0.0,10.0,0.0,21.57231495597394,21.738680655509597,23.752832940749535,0.0,1,5.25,-354.7800009350614,True
8,8,8100,0.0,10.0,2.997,20.133301444638658,22.51905286527126,18.951819862469087,23.976,2,5.0,-243.03000093506142,True
9,19,18000,0.0,10.0,2.997,20.05571905745595,21.838916228643228,18.477165387640856,77.922,2,5.0,-156.34165760683555,True
10,18,17100,0.0,10.0,0.0,21.57678264777857,21.7244890260627,20.000442833855075,53.946,1,5.25,38.158342393164446,True
11,0,900,0.0,10.0,-2.997,21.17264734670128,20.684730615701703,23.911643651090223,-5.994,0,-11.5,26.658342393164446,True
12,14,13500,0.0,10.0,2.997,20.95539001024473,22.531241538091813,19.373566225073724,53.946,2,21.5,-7.221208984027811,True
13,16,15300,0.0,10.0,0.0,21.352573822732897,21.21676487986201,19.798652885743635,65.934,1,5.25,-3.721208984027811,True
14,5,5400,0.0,10.0,2.997,21.35201927723187,22.839079451541078,19.024144725903447,17.982,2,21.5,26.52879101597219,True
15,10,9900,0.0,10.0,-2.997,22.951799481232207,20.03436605617509,21.4283442661673,41.958,0,21.5,197.5287910159722,True
16,23,21600,0.0,10.0,2.997,20.70649589002339,22.55169360163015,19.1280521266888,95.904,2,21.5,368.02879101597216,True
17,16,15300,0.0,10.0,0.0,22.108335708352794,21.972288980701162,20.522117435114957,71.928,1,21.75,470.27879101597216,True
18,4,4500,0.0,10.0,0.0,20.76952430685549,20.30994586561098,20.57931554680402,5.994,1,21.75,528.7787910159722,True
19,85,77400,0.0,10.0,2.997,20.43213056871893,22.281819108145466,18.85402096514113,407.5920000000013,2,21.5,595.3881778515639,True
20,73,66600,0.0,10.0,0.0,20.86590707517017,21.009872226853822,19.287797471594136,263.7360000000006,1,5.25,387.4132860860871,True
21,101,91800,0.0,10.0,0.0,26.618506159765133,26.884199933207686,25.040396556187478,557.4420000000011,1,-8.518650708149174,289.7164734508634,True
22,21,19800,0.0,10.0,0.0,22.881412100250056,22.292974116563528,21.306388619200476,95.904,1,5.25,187.9890748830715,True
23,2,2700,0.0,10.0,2.997,20.03710507125974,22.81008759369974,20.317012607916208,5.994,2,21.5,219.4890748830715,True
24,22,20700,0.0,10.0,0.0,22.93976111770029,22.321028936603938,21.359559507593683,107.892,1,5.25,122.89957967883134,True
25,0,900,0.0,10.0,0.0,21.266551740501843,22.12891460888545,21.050030959988053,0.0,1,21.75,144.64957967883134,True
26,5,5400,0.0,10.0,0.0,22.304399979772064,22.97476975075979,21.709465803475585,23.976,1,21.75,191.64957967883134,True
27,97,88200,0.0,10.0,0.0,21.408957241273068,21.503558874113182,19.83084763769541,491.5080000000017,1,5.25,455.8209261583806,True
28,44,40500,0.0,10.0,-2.997,22.934159063728174,20.125071937318637,21.35604953916758,191.80800000000028,0,21.5,667.4838983339805,True
29,12,11700,0.0,10.0,2.997,20.267218081950933,22.095442702826777,18.673069943021314,41.958,2,5.0,798.4838983339805,True
30,81,73800,0.0,10.0,2.997,20.52757891499389,22.323635912510564,18.949469311417033,407.5920000000013,2,21.5,926.2405353580929,True
31,2,2700,0.0,10.0,2.997,21.889708643058945,22.900433424986247,18.658865647704115,5.994,2,-11.5,891.7405353580929,True
32,18,17100,0.0,10.0,2.997,20.607589830052802,22.45377772770203,19.034500572527296,65.934,2,21.5,1201.240535358093,True
33,101,91800,0.0,10.0,2.997,26.592632470369985,29.854780019523282,25.014522866792333,551.4480000000012,2,-8.76572593741804,1638.9530426866536,True
34,59,54000,0.0,10.0,2.997,20.839478694090236,22.687430948266975,19.26136909265835,287.7120000000007,2,21.5,1564.3761000195402,True
35,101,91800,0.0,10.0,2.997,24.813265808209227,28.037727616596367,23.23515620463157,515.4840000000017,2,-11.5,2290.31712353419,True
36,101,91800,0.0,10.0,2.997,24.809213223020578,28.033710675353113,23.231103619442926,515.4840000000017,2,-11.5,3614.675254372933,True
37,101,91800,0.0,10.0,2.997,22.972961326521705,24.878975730370826,21.394851722944054,527.4720000000016,2,21.5,4110.01362770017,True
38,28,26100,0.0,10.0,2.997,20.8202389453807,22.621955544367996,19.242224559147736,137.86200000000002,2,21.5,4359.855488323562,True
39,101,91800,0.0,10.0,2.997,22.795568214346304,25.704335848072184,21.21745861076865,503.49600000000174,2,21.5,5294.062090311238,True
40,101,91800,0.0,10.0,2.997,24.374624254407127,27.589946766035137,22.796514650829472,515.4840000000017,2,5.0,6091.350477161749,True
41,80,72900,0.0,10.0,0.0,22.079336766399383,21.975416228115883,20.501227162821458,389.6100000000012,1,21.75,6961.778277214107,True
42,101,91800,0.0,10.0,2.997,24.143096710992445,27.353531599465462,22.56498710741479,515.4840000000017,2,5.0,8071.635207404671,True
43,50,45900,0.0,10.0,2.997,21.024354688396144,22.616012351929907,19.446245063797377,233.76600000000047,2,21.5,8706.13520740467,True
44,28,26100,0.0,10.0,-2.997,22.881508385432863,20.012985110432616,21.303413826235904,113.886,0,21.5,9065.63520740467,True
